class_id,class_name,total,correct,accuracy
0,Speed limit 20,60,60,1.0
1,Speed limit 30,720,718,0.9972222222222222
2,Speed limit 50,750,743,0.9906666666666667
3,Speed limit 60,450,439,0.9755555555555555
4,Speed limit 70,660,651,0.9863636363636363
5,Speed limit 80,630,627,0.9952380952380953
6,End speed limit 80,150,144,0.96
7,Speed limit 100,450,449,0.9977777777777778
8,Speed limit 120,450,446,0.9911111111111112
9,No passing,480,480,1.0
10,No passing trucks,660,660,1.0
11,Priority at next intersection,420,405,0.9642857142857143
12,Priority road,690,664,0.9623188405797102
13,Yield,720,718,0.9972222222222222
14,Stop,270,270,1.0
15,No vehicles,210,208,0.9904761904761905
16,Trucks prohibited,150,150,1.0
17,No entry,360,352,0.9777777777777777
18,General caution,390,373,0.9564102564102565
19,Dangerous curve left,60,60,1.0
20,Dangerous curve right,90,90,1.0
21,Double curve,90,72,0.8
22,Bumpy road,120,97,0.8083333333333333
23,Slippery road,150,143,0.9533333333333334
24,Road narrows right,90,90,1.0
25,Road work,480,474,0.9875
26,Traffic signals,180,176,0.9777777777777777
27,Pedestrians,60,30,0.5
28,Children crossing,150,149,0.9933333333333333
29,Bicycles crossing,90,76,0.8444444444444444
30,Beware of ice/snow,150,136,0.9066666666666666
31,Wild animals crossing,270,267,0.9888888888888889
32,End speed and passing limits,60,60,1.0
33,Turn right ahead,210,206,0.9809523809523809
34,Turn left ahead,120,120,1.0
35,Ahead only,390,373,0.9564102564102565
36,Go straight or right,120,118,0.9833333333333333
37,Go straight or left,60,55,0.9166666666666666
38,Keep right,690,683,0.9898550724637681
39,Keep left,90,84,0.9333333333333333
40,Roundabout mandatory,90,88,0.9777777777777777
41,End no passing,60,60,1.0
42,End no passing trucks,90,90,1.0
