attack,epsilon,clean_accuracy,adversarial_accuracy,attack_success_rate,mean_confidence_drop,total_images
fgsm,0.005,0.9793333333333333,0.9526666666666667,0.02722940776038121,0.014137663811445236,3000
fgsm,0.01,0.9793333333333333,0.9013333333333333,0.07964601769911504,0.032203702678283055,3000
fgsm,0.02,0.9793333333333333,0.7826666666666666,0.20081688223281144,0.06720167801777521,3000
fgsm,0.03,0.9793333333333333,0.671,0.31484002722940774,0.10108251604437828,3000
fgsm,0.05,0.9793333333333333,0.5023333333333333,0.4870660313138189,0.1507443035642306,3000
pgd,0.005,0.9793333333333333,0.9466666666666667,0.033356024506466984,0.013716509819030762,3000
pgd,0.01,0.9793333333333333,0.8683333333333333,0.1133424098025868,0.032473616401354474,3000
pgd,0.02,0.9793333333333333,0.6896666666666667,0.2957794417971409,0.05680414519707362,3000
pgd,0.03,0.9793333333333333,0.6,0.3873383253914227,0.0648234531680743,3000
pgd,0.05,0.9793333333333333,0.5426666666666666,0.44588155207624236,0.06963891876737277,3000
