variant,method,params,clean_base_accuracy,pgd_base_accuracy,clean_transformed_accuracy,pgd_defended_accuracy,clean_accuracy_drop,pgd_accuracy_gain,mean_defended_confidence,total_images
none,none,{},0.9793333333333333,0.6033333333333334,0.9793333333333333,0.6033333333333334,0.0,0.0,0.918402262032032,3000
gaussian_sigma_0.3,gaussian_blur,"{""kernel_size"": 3, ""sigma"": 0.3}",0.9793333333333333,0.6033333333333334,0.9793333333333333,0.605,0.0,0.0016666666666665941,0.9186117444634437,3000
gaussian_sigma_0.6,gaussian_blur,"{""kernel_size"": 3, ""sigma"": 0.6}",0.9793333333333333,0.6033333333333334,0.977,0.6743333333333333,0.0023333333333332984,0.07099999999999995,0.928505123625199,3000
gaussian_sigma_1.0,gaussian_blur,"{""kernel_size"": 3, ""sigma"": 1.0}",0.9793333333333333,0.6033333333333334,0.9756666666666667,0.7123333333333334,0.003666666666666596,0.10899999999999999,0.9349696105370919,3000
median_k3,median_filter,"{""kernel_size"": 3}",0.9793333333333333,0.6033333333333334,0.976,0.6786666666666666,0.0033333333333332993,0.07533333333333325,0.928133715286851,3000
median_k5,median_filter,"{""kernel_size"": 5}",0.9793333333333333,0.6033333333333334,0.963,0.7733333333333333,0.01633333333333331,0.16999999999999993,0.9325505346407493,3000
jpeg_q95,jpeg_compression,"{""quality"": 95}",0.9793333333333333,0.6033333333333334,0.9783333333333334,0.7223333333333334,0.0009999999999998899,0.119,0.9332665491352479,3000
jpeg_q75,jpeg_compression,"{""quality"": 75}",0.9793333333333333,0.6033333333333334,0.9723333333333334,0.7873333333333333,0.006999999999999895,0.18399999999999994,0.9396899962921937,3000
jpeg_q50,jpeg_compression,"{""quality"": 50}",0.9793333333333333,0.6033333333333334,0.9686666666666667,0.8273333333333334,0.010666666666666602,0.22399999999999998,0.9365776402602594,3000
