operation,batch_index,batch_size,seconds,images_per_second
clean_inference,2,128,0.03636890000052517,3519.490553691524
fgsm_generation,2,128,0.11976299999878393,1068.7775022444303
pgd_generation,2,128,0.8477161000009801,150.99394714793314
jpeg_defense_fgsm,2,128,0.033433499998864136,3828.4953715389847
jpeg_defense_pgd,2,128,0.026172500000029686,4890.629477499468
jpeg_pgd_plus_inference,2,128,0.06313170000066748,2027.5075754121413
clean_inference,3,128,0.03684219999922789,3474.2767805039475
fgsm_generation,3,128,0.12130080000133603,1055.22799518709
pgd_generation,3,128,0.8467044999997597,151.17434713059436
jpeg_defense_fgsm,3,128,0.027426199998444645,4667.070174040113
jpeg_defense_pgd,3,128,0.02859859999989567,4475.743567883286
jpeg_pgd_plus_inference,3,128,0.06677200000012817,1916.9711855231878
clean_inference,4,128,0.03634520000014163,3521.7855452577287
fgsm_generation,4,128,0.11941769999975804,1071.8679056811457
pgd_generation,4,128,0.8503764999986743,150.52156309611044
jpeg_defense_fgsm,4,128,0.02546009999969101,5027.474361905626
jpeg_defense_pgd,4,128,0.02448019999974349,5228.715451725934
jpeg_pgd_plus_inference,4,128,0.06116699999984121,2092.6316477893683
clean_inference,5,128,0.0368239999988873,3475.993917115678
fgsm_generation,5,128,0.11954249999871536,1070.74889684736
pgd_generation,5,128,0.8384162999991531,152.6687875702432
jpeg_defense_fgsm,5,128,0.026240799999868614,4877.900064046862
jpeg_defense_pgd,5,128,0.026932600001600804,4752.60464984413
jpeg_pgd_plus_inference,5,128,0.06482410000171512,1974.5742709364783
clean_inference,6,128,0.03644160000112606,3512.4692657853866
fgsm_generation,6,128,0.12008749999949941,1065.889455609731
pgd_generation,6,128,0.8435415000003559,151.74120064033127
jpeg_defense_fgsm,6,128,0.02578960000028019,4963.240996316707
jpeg_defense_pgd,6,128,0.02558150000004389,5003.61589429003
jpeg_pgd_plus_inference,6,128,0.06274860000121407,2039.8861488148489
clean_inference,7,128,0.036752800000613206,3482.7278465277304
fgsm_generation,7,128,0.12071209999885468,1060.3742292712534
pgd_generation,7,128,0.8373239000011381,152.8679642368097
jpeg_defense_fgsm,7,128,0.02610830000048736,4902.655477285409
jpeg_defense_pgd,7,128,0.02577980000023672,4965.12773562342
jpeg_pgd_plus_inference,7,128,0.06301080000048387,2031.3977921089254
clean_inference,8,128,0.036271799999667564,3528.912267965007
fgsm_generation,8,128,0.12074889999894367,1060.0510646566534
pgd_generation,8,128,0.8393355000007432,152.5015920330865
jpeg_defense_fgsm,8,128,0.026252599998770165,4875.707549194987
jpeg_defense_pgd,8,128,0.02530259999912232,5058.768664265332
jpeg_pgd_plus_inference,8,128,0.0624681999997847,2049.0425528579526
clean_inference,9,128,0.036907699999574106,3468.1109904295595
fgsm_generation,9,128,0.12050529999942228,1062.1939450017023
pgd_generation,9,128,0.8462012999989383,151.26424409908208
jpeg_defense_fgsm,9,128,0.02577269999892451,4966.495555581737
jpeg_defense_pgd,9,128,0.028648600000451552,4467.932115286
jpeg_pgd_plus_inference,9,128,0.06612390000009327,1935.7599899555146
clean_inference,10,128,0.037219800000457326,3439.029763685652
fgsm_generation,10,128,0.12024120000023686,1064.526967459971
pgd_generation,10,128,0.8480821000011929,150.92878389936536
jpeg_defense_fgsm,10,128,0.027449600000181817,4663.091629719638
jpeg_defense_pgd,10,128,0.028302200000325684,4522.616616324069
jpeg_pgd_plus_inference,10,128,0.06498199999987264,1969.7762457334472
clean_inference,11,128,0.03724990000046091,3436.2508355301943
fgsm_generation,11,128,0.11930709999978717,1072.8615480573103
pgd_generation,11,128,0.8456897000014578,151.3557514059582
jpeg_defense_fgsm,11,128,0.026782400000229245,4779.258020151457
jpeg_defense_pgd,11,128,0.027867199998581782,4593.213527247595
jpeg_pgd_plus_inference,11,128,0.06525839999812888,1961.4333174529268
clean_inference,12,128,0.0367815999998129,3480.0008700179196
fgsm_generation,12,128,0.11947270000018761,1071.3744646249645
pgd_generation,12,128,0.8458281000002899,151.3309855749131
jpeg_defense_fgsm,12,128,0.027131299999382463,4717.79826263074
jpeg_defense_pgd,12,128,0.026364399998783483,4855.031785510242
jpeg_pgd_plus_inference,12,128,0.06298249999963446,2032.310562469621
clean_inference,13,128,0.03675269999985176,3482.737322714149
fgsm_generation,13,128,0.11996130000079575,1067.0107776353784
pgd_generation,13,128,0.8504995000002964,150.49979453245462
jpeg_defense_fgsm,13,128,0.02723090000108641,4700.54239833767
jpeg_defense_pgd,13,128,0.02629720000004454,4867.438358448169
jpeg_pgd_plus_inference,13,128,0.06299380000018573,2031.9460010290315
